Datum,Start,Einde,Plaats,Omschrijving
12/02/18,15:45,17:45,Campus,Python leren oef xx tot yy
13/02/18,19:00,21:00,Extern,Python leren oef xx tot yy
19/02/18,15:45,17:45,Campus,Python leren oef xx tot yy
26/02/18,15:45,17:45,Campus,Selectie algoritme
05/03/18,12:30,17:00,Campus,Bedrijfsbezoek
06/03/18,18:00,20:00,Kot,Discussie python library
11/03/18,9:30,12:00,Kot,Leren werken met github + bekijken informatieve links (zie wiki.docx)
11/03/18,9:30,12:00,Kot,Leren werken met github + bekijken informatieve links (zie wiki.docx)
24/03/18,10:00,12:00,Kot,Startscherm animatie ontwerpen in Blender
25/03/18,10:00,11:00,Kot,Bekijken mogelijkheden om filmbestanden af te spelen
26/03/18,13:30,17:45,Campus, eerste versie animatie met de Pyglet library laten spelen
28/03/18,17:00,18:30,UZ Gent,  schrijven aan analyse document
